INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
244608249,05/05/2022,00:10:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,VIDEO STORE,true,25-44,M,BLACK,25-44,M,BLACK,986050,214231,40.754692,-73.9935,POINT (-73.9935 40.754692)
247542571,07/04/2022,22:20:00,BRONX,OUTSIDE,48,0,STREET,(null),true,(null),(null),(null),18-24,M,BLACK,1016802,250581,40.854402,-73.88233,POINT (-73.88233 40.854402)
84967535,05/27/2012,19:35:00,QUEENS,,103,0,,,false,,,,18-24,M,BLACK,1048632.000000000000000,198262.000000000000000,40.71063412500007,-73.767773491999947,POINT (-73.76777349199995 40.71063412500007)
202853370,09/24/2019,21:00:00,BRONX,,42,0,,,false,25-44,M,UNKNOWN,25-44,M,BLACK,1014493.000000000000000,242565.000000000000000,40.832416753000075,-73.890714405999972,POINT (-73.89071440599997 40.832416753000075)
27078636,02/25/2007,21:00:00,BROOKLYN,,83,0,,,false,25-44,M,BLACK,25-44,M,BLACK,1009149.375000000000000,190104.703125000000000,40.688443459000041,-73.910218573999941,POINT (-73.91021857399994 40.68844345900004)
230311078,07/01/2021,23:07:00,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,999061,229912,40.79772716600007,-73.94650786199998,POINT (-73.94650786199998 40.79772716600007)
229224142,06/07/2021,19:55:00,QUEENS,,113,0,,,true,,,,45-64,M,BLACK,1042534,184647,40.673306465000046,-73.78988688199998,POINT (-73.78988688199998 40.673306465000046)
231246224,07/22/2021,01:47:00,BROOKLYN,,77,0,,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1004507,182865,40.66858395700007,-73.92697993199994,POINT (-73.92697993199994 40.66858395700007)
228559720,05/22/2021,18:39:00,BRONX,,48,0,,,false,,,,18-24,M,BLACK,1016391,249523,40.851507714000036,-73.88382239499998,POINT (-73.88382239499998 40.851507714000036)
238210279,12/22/2021,23:17:00,BRONX,,49,0,,,true,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1021438,252793,40.86046306400005,-73.86556104899995,POINT (-73.86556104899995 40.86046306400005)
233431365,09/10/2021,22:30:00,BROOKLYN,,73,0,,,false,,,,25-44,M,BLACK,1009715,185349,40.675388531000074,-73.90819699999997,POINT (-73.90819699999997 40.675388531000074)
238238212,12/23/2021,04:05:00,QUEENS,,114,0,,BAR/NIGHT CLUB,true,,,,25-44,M,BLACK,1009215,219725,40.769743719000076,-73.90987205399993,POINT (-73.90987205399993 40.769743719000076)
227089385,04/18/2021,21:56:00,QUEENS,,114,0,,,true,,,,18-24,M,BLACK,1007938,217508,40.76366214500007,-73.91449012799995,POINT (-73.91449012799995 40.76366214500007)
236818010,11/22/2021,21:40:00,MANHATTAN,,28,0,,,false,18-24,M,BLACK,25-44,M,BLACK,997742,232494,40.804816163000055,-73.95126656699995,POINT (-73.95126656699995 40.804816163000055)
230713944,07/10/2021,01:40:00,BRONX,,43,0,,,false,,,,18-24,M,BLACK,1025108,243208,40.83413887300003,-73.85235185799998,POINT (-73.85235185799998 40.83413887300003)
228865038,05/28/2021,16:14:00,BROOKLYN,,71,0,,,false,,,,18-24,M,BLACK,995361,181624,40.66519388900008,-73.95995105499998,POINT (-73.95995105499998 40.66519388900008)
232263466,08/13/2021,03:56:00,QUEENS,,106,0,,,false,,,,25-44,M,BLACK,1035200,190461,40.68930978800007,-73.81628200299998,POINT (-73.81628200299998 40.68930978800007)
229643175,06/16/2021,18:32:00,QUEENS,,105,0,,,false,,,,25-44,M,BLACK,1053690,187533,40.68114737700005,-73.74963982599996,POINT (-73.74963982599996 40.68114737700005)
224465138,02/16/2021,11:55:00,MANHATTAN,,7,0,,,false,25-44,M,BLACK,65+,F,WHITE,988222,200837,40.71793522900003,-73.985672762,POINT (-73.985672762 40.71793522900003)
228566033,05/23/2021,03:50:00,BRONX,,41,0,,,false,,,,18-24,M,WHITE HISPANIC,1014021,236838,40.81669937700008,-73.89244544699994,POINT (-73.89244544699994 40.81669937700008)
230741367,07/11/2021,20:13:00,QUEENS,,113,0,,,true,,,,18-24,M,BLACK,1051884,195923,40.704189886000044,-73.756066977,POINT (-73.756066977 40.704189886000044)
